NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(�g),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(�g),Folic_Acid_(�g),Food_Folate_(�g),Folate_DFE_(�g),Choline_Tot_(mg),Vit_B12_(�g),Vit_A_IU,Vit_A_RAE,Retinol_(�g),Alpha_Carot_(�g),Beta_Carot_(�g),Beta_Crypt_(�g),Lycopene_(�g),Lut+Zea_(�g),Vit_E_(mg),Vit_D_�g,Vit_D_IU,Vit_K_(�g),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
1186,"CHEESE,CREAM,FAT FREE",71.87,105,15.69,1.0,3.77,7.66,0,5.48,351,0.19,22,523,278,702,1.5,0.036,0.017,4.9,0,0.04,0.265,0.23,0.84,0.05,35,0,35,35,65.2,0.95,53,11,10,0,11,0,0,0,0.02,0,0,0.2,0.644,0.25,0.057,12,18,1 tbsp,,,0
1199,"CREAM,HALF & HALF,FAT FREE",86.0,59,2.6,1.4,1,9,0,5,96,0,16,151,206,100,0.81,0.016,0.002,2.9,0.7,0.056,0.237,0.124,0.459,0.062,4,0,4,4,15,0.52,43,12,12,0,3,0,0,0,0.04,0,0,0.2,0.841,0.384,0.052,5,29,2 tbsp,484,1 pint,0
1208,"CHEESE,PROVOLONE,RED FAT",50.6,274,24.7,17.6,3.6,3.5,0,0.55,756,0.52,28,496,138,615,3.23,0.026,0.01,14.5,0,0.019,0.321,0.156,0.476,0.073,10,0,10,10,12.9,1.46,532,141,137,0,45,0,0,0,0.15,0.3,13,1.5,11.3,4.89,0.51,55,132,"1 cup, diced",28.35,1 oz,0
1209,"CHEESE,MEXICAN,BLEND,RED FAT",48.2,282,24.69,19.4,4.3,3.41,0,0.56,1146,0.13,35,583,93,776,4.3,0.021,,15.5,0,0.03,0.3,0.06,,0.084,20,0,20,20,13.5,1.66,586,155,151,0,50,0,0,0,0.17,0.4,14,1.6,11.58,5.02,0.75,62,28.35,1 oz,28,.25 cup,0
1211,"MILK,WHL,3.25% MILKFAT,WO/ ADDED VIT A & VITAMIN D",88.13,61,3.15,3.27,0.67,4.78,0,5.05,113,0.03,10,84,132,43,0.37,0.025,0.004,3.7,0,0.046,0.169,0.089,0.373,0.036,5,0,5,5,14.3,0.45,162,46,45,0,7,0,0,0,0.07,0.1,2,0.3,1.865,0.812,0.195,10,244,1 cup,15,1 tbsp,0
1216,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D",75.3,99,3.98,1.15,0.93,18.64,0,18.64,138,0.06,13,109,177,53,0.67,0.079,0.064,2.8,0.6,0.034,0.162,0.086,0.446,0.037,9,0,9,9,15.2,0.43,40,11,11,0,2,0,0,0,0.02,1.3,52,0.1,0.742,0.316,0.033,5,170,"1 container,  (6 oz)",125,"1 container,  (4.4 oz)",0
1217,"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D",74.48,102,4.37,1.08,1.02,19.05,0,19.05,152,0.07,15,119,195,58,0.74,0.08,0.065,3.1,0.7,0.037,0.178,0.095,0.489,0.04,9,0,9,9,14,0.47,36,10,10,0,2,0,0,0,0.02,1.3,52,0.1,0.697,0.297,0.031,4,170,"1 container,  (6 oz)",245,"1 cup,  (8 fl oz)",0
1218,"YOGURT,FRUIT VAR,NONFAT,FORT W/ VITAMIN D",75.4,95,4.4,0.2,1,19,0,19,152,0.07,15,119,194,58,0.74,0.011,0.035,6,0.7,0.04,0.18,0.1,,0.04,9,0,9,9,16.4,0.47,12,2,2,0,4,0,0,8,0.06,1.3,52,1.1,0.119,0.05,0.016,2,170,"1 container,  (6 oz)",125,"1 container,  (4.4 oz)",0
1230,"MILK,BTTRMLK,FLUID,WHL",87.91,62,3.21,3.31,0.68,4.88,0,4.88,115,0.03,10,85,135,105,0.38,0.025,0.004,3.7,0,0.047,0.172,0.09,0.38,0.036,5,0,5,5,14.6,0.46,165,47,46,0,7,0,0,0,0.07,1.3,52,0.3,1.899,0.827,0.198,11,245,1 cup,,,0
1251,"CHEESE,MEXICAN BLEND",42.48,358,23.54,28.51,3.72,1.75,0,1.23,659,0.59,25,438,85,338,3.01,0.025,0.022,15,0,0.023,0.318,0.114,0.249,0.061,13,0,13,13,15.7,1.23,659,174,170,0,56,0,0,0,0.25,0.5,21,2.5,17.027,7.871,0.864,95,28,".25 cup, shredded",,,0
1256,"YOGURT,GREEK,PLN,NONFAT",85.1,59,10.19,0.39,0.72,3.6,0,3.24,110,0.07,11,135,141,36,0.52,0.017,0.009,9.7,0,0.023,0.278,0.208,0.331,0.063,7,0,7,7,15.1,0.75,4,1,1,0,0,0,0,0,0.01,0,0,0,0.117,0.053,0.012,5,170,1 container,,,0
1260,"CHEESE,CHEDDAR,RED FAT",44.29,309,27.35,20.41,3.89,4.06,0,0.26,761,0.12,27,520,63,628,4.44,0.043,0.031,35.8,0,0.021,0.397,0.145,0.389,0.084,20,0,20,20,15.4,1.41,522,145,142,0,28,1,0,4,0.48,0.3,13,1.5,12.602,5.304,0.893,76,21,1 slice,,,0
1265,"CHEESE,CHEDDAR,NONFAT OR FAT FREE",57.0,157,32.14,0.0,3.64,7.14,0,0,893,0,16,484,66,1000,1.82,0.021,,14.5,0,0.012,0.221,0.051,,0.045,11,0,11,11,15.4,0.49,207,60,60,0,4,0,0,0,0.06,0.1,5,0.6,0.0,0.0,0.0,18,28,1 serving,,,0
1266,"CHEESE,SWISS,NONFAT OR FAT FREE",63.6,127,28.4,0.0,4.5,3.4,0,1.33,961,0.17,36,605,111,1000,3.9,0.027,,12.7,0,0.02,0.36,0.09,,0.08,6,0,6,6,15.4,1.68,152,40,39,0,13,0,0,0,0.07,0.1,4,0.5,0.0,0.0,0.0,18,28,1 serving,,,0
1270,"CHEESE,CHEDDAR,SHARP,SLICED",36.15,410,24.25,33.82,3.66,2.13,0,0.27,711,0.16,27,460,76,644,3.74,0.035,0.024,28.3,0,0.027,0.434,0.039,0.481,0.075,27,0,27,27,16.5,0.88,994,263,256,0,85,0,0,0,0.78,1,41,2.4,19.368,8.428,1.433,99,19,"1 slice,  (2/3 oz)",21,"1 slice,  (3/4 oz)",0
1271,"CHEESE,MOZZARELLA,LO MOIST,PART-SKIM,SHREDDED",44.81,304,23.63,19.72,3.78,8.06,0,2.24,716,0.23,29,537,131,682,3.61,0.034,0.041,26.8,0,0.029,0.367,0.151,0.508,0.111,27,0,27,27,14.2,1.33,846,254,254,0,0,0,0,0,0.49,0.4,14,1.3,11.472,5.104,0.861,65,86,1 cup,,,0
1281,"YOGURT,GREEK,NONFAT,STRAWBERRY,CHOBANI",79.62,80,8.03,0.12,0.6,11.62,0.7,10.86,99,0.12,10,112,124,33,0.44,0.019,0.033,9.5,0.3,0.031,0.28,0.213,0.335,0.05,,,,,,0.45,,,,,,,,,,,,,0.103,0.024,0.01,,150,5.3 oz,,,0
1284,"YOGURT,GREEK,STRAWBERRY,LOWFAT",76.81,103,8.17,2.57,0.56,11.89,1,11.23,88,0.07,10,109,129,33,0.41,0.019,0.036,9.6,0.7,0.037,0.235,0.205,0.394,0.049,9,0,9,9,14,0.5,111,31,30,0,7,0,0,7,0.02,0,0,0,1.599,0.65,0.113,12,150,"1 container,  (5.3 oz)",,,0
1285,"YOGURT,GREEK,STRAWBERRY,NONFAT",79.13,82,8.05,0.15,0.59,12.07,0.6,11.27,97,0.09,10,113,132,33,0.45,0.019,0.033,9.4,0.3,0.037,0.253,0.213,0.358,0.05,20,0,20,20,14,0.49,4,0,0,0,2,0,0,4,0.02,1,40,0,0.105,0.026,0.014,4,150,"1 container,  (5.3 oz)",,,0
1287,"YOGURT,GREEK,PLN,LOWFAT",83.56,73,9.95,1.92,0.63,3.94,0,3.56,115,0.04,11,137,141,34,0.6,0.021,0.007,12.4,0.8,0.044,0.233,0.197,0.47,0.055,12,0,12,12,15.2,0.52,309,90,90,0,6,0,0,1,0.04,0,0,0.2,1.23,0.486,0.076,10,200,"1 container,  (7 oz)",,,0
1289,"KEFIR,LOWFAT,PLN,LIFEWAY",90.07,41,3.79,0.93,0.72,4.48,0,4.61,130,0.04,12,105,164,40,0.46,0.009,0.005,3.6,0.2,0.03,0.135,0.15,0.385,0.058,13,0,13,13,15.2,0.29,569,171,171,0,0,0,0,0,0.02,1,41,0.1,0.658,0.31,0.053,5,,,,,0
1290,"KEFIR,LOWFAT,STRAWBERRY,LIFEWAY",84.82,62,3.39,0.9,0.68,10.2,0,9.21,119,0.04,11,96,154,37,0.44,0.009,0.005,3.6,1.5,0.03,0.21,0.105,0.38,0.06,22,0,22,22,15.2,0.31,599,178,178,0,3,0,0,0,0.06,1.1,44,1.2,0.533,0.262,0.041,5,,,,,0
1293,"YOGURT,GREEK,PLN,WHL MILK",81.3,97,9.0,5.0,0.72,3.98,0,4,100,0,11,135,141,35,0.52,0.017,0.009,9.7,0,0.023,0.278,0.208,0.331,0.063,5,0,5,5,15.1,0.75,15,2,1,0,7,0,0,0,0.01,0,0,0,2.395,2.136,0.469,13,,,,,0
1294,"YOGURT,GREEK,FRUIT,WHL MILK",76.81,106,7.33,3.0,0.56,12.29,0,12,100,0,10,109,113,37,0.41,0.019,0.036,9.6,0,0.046,0.235,0.205,0.394,0.049,5,0,5,5,14.3,0.5,162,46,45,0,7,0,0,7,0.07,0,0,0.3,1.599,1.265,0.219,10,,,,,0
1302,"LIGHT ICE CRM,CREAMSICLE",61.77,165,1.54,3.08,0.87,32.75,0,18.46,62,0,12,84,174,46,0.66,0.02,0.007,1.8,13.8,0.045,0.206,0.113,0.402,0.038,6,0,6,6,20.4,0.36,324,93,92,0,10,2,0,2,0.09,0.1,2,0.3,1.813,0.819,0.137,8,,,,,0
1303,"CREAM,HALF & HALF,LOWFAT",87.83,72,3.33,5.0,0.51,3.33,0,3.33,133,0,10,95,132,50,0.39,0.009,,3.2,0,0.03,0.194,0.109,,0.05,3,0,3,3,18.7,0.19,170,47,46,0,11,0,0,0,0.12,0,1,0.6,3.276,1.526,0.257,17,,,,,0
8001,"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN ORIGINAL",2.12,259,13.14,4.9,5.6,74.24,29.3,15.69,389,17.6,362,1150,1020,258,12.4,1.04,7.41,9.4,20,2.27,2.71,14.8,1.06,12.0,1310,1269,41,2198,49.4,18.8,1747,522,522,0,4,0,0,192,1.19,4.3,170,5.2,1.1,0.89,2.0,0,31,".5 cup,  (1 NLEA serving)",,,0
8002,"CEREALS RTE,POST,ALPHA-BITS",1.2,389,10.0,4.6,3.9,80.3,7.1,21,35,30,99,309,267,592,5.0,0.3,,20.9,20,1.3,1.4,16.7,0.756,1.7,667,648,19,1120,25.6,5.0,2500,741,739,11,16,0,0,334,0.31,6.7,267,1.4,1.1,1.5,1.8,0,30,"1 cup,  (1 NLEA serving for adults)",20,".67 cup,  (1 serving for children under 4 years)",0
8003,"CEREALS RTE,KELLOGG,KELLOGG'S APPL JACKS",2.5,375,5.1,3.4,1.4,88.2,9.3,43.7,12,16.1,29,70,112,466,5.4,0.098,0.499,5.6,54,1.34,1.52,17.9,0.345,1.79,357,338,19,594,7.5,5.4,1786,527,526,10,15,0,0,276,0.12,3.6,143,0.4,1.9,0.6,0.9,0,28,"1 cup,  (1 NLEA serving)",,,0
8005,"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN BRAN BUDS",3.0,257,8.9,2.5,4.48,81,42.5,26.7,63,15,200,500,811,685,5.0,0.5,5.789,28.9,20,1.25,1.42,16.7,1.097,6.67,1333,1292,41,2237,35.6,20.0,1667,500,500,0,0,0,0,109,0,3.3,133,0.9,0.5,0.5,1.5,0,30,".333 cup,  (1 NLEA serving)",,,0
8010,"CEREALS RTE,QUAKER,CAP'N CRUNCH",2.5,398,4.39,5.12,2.48,85.51,2.5,44.32,11,19.42,55,167,186,754,16.16,0.111,0.747,6.5,0,1.614,1.822,21.465,0.145,2.138,1555,1536,19,2630,8.6,0.0,148,7,0,44,67,0,0,645,0.62,0,0,0.6,3.346,0.639,0.747,0,27,".75 cup,  (1 NLEA serving)",,,0
8011,"CEREALS RTE,QUAKER,CAP'N CRUNCH W/ CRUNCHBERRIES",2.5,397,4.45,4.83,2.28,85.93,2.6,44.2,11,19.8,55,168,187,725,15.56,0.119,,10.4,0.1,1.6,1.8,20.75,,2.14,1630,1611,19,2757,8.6,0.0,149,7,0,0,89,0,0,538,0.63,0,0,0.6,3.08,0.63,0.75,0,26,".75 cup,  (1 NLEA serving)",,,0
8012,"CEREALS RTE,QUAKER,CAP'N CRUNCH'S PNUT BUTTER CRUNCH",2.5,417,7.1,9.23,2.52,78.65,2.7,33.36,9,18.36,69,194,236,742,15.29,0.111,,7.5,0,1.53,1.732,20.36,,2.038,1554,1535,19,2629,14.7,0.0,150,8,0,44,68,0,0,850,0.61,0,0,0.2,3.92,2.641,2.148,0,27,".75 cup,  (1 NLEA serving)",,,0
8013,"CEREALS RTE,GENERAL MILLS,CHEERIOS",5.13,376,12.09,6.73,2.81,73.23,9.4,4.36,401,33.17,114,481,641,497,16.73,0.385,3.547,24.9,21.6,1.327,0.1,20.967,1.073,2.39,714,695,19,1201,26.2,6.77,3299,990,990,0,0,0,0,149,0.65,3.4,136,1.8,1.5,2.376,2.432,0,28,"1 cup,  (1 NLEA serving)",,,0
8018,"CEREALS RTE,QUAKER,QUAKER CRUNCHY BRAN",2.5,331,6.37,4.06,3.39,83.68,15.3,20.66,71,30.98,61,186,239,759,15.3,0.117,0.359,11.1,0,0.506,1.73,20.389,0.266,2.038,1554,1535,19,2629,9.5,0.0,154,8,0,46,70,0,0,1060,0.67,0,0,0.3,2.03,0.776,1.23,0,27,".75 cup,  (1 NLEA serving)",,,0
8019,"CEREALS RTE,GENERAL MILLS,CORN CHEX",2.5,370,6.4,2.4,3.7,85,4.7,11.1,323,26.1,26,129,197,719,12.1,0.143,,12,19.4,1.2,1.39,16.1,,1.61,645,626,19,1083,12.9,4.8,1613,440,431,52,79,0,0,1223,0.25,3.2,129,0.1,0.4,0.6,1.29,0,31,"1 cup,  (1 NLEA serving)",,,0
8020,"CEREALS RTE,KELLOGG,KELLOGG'S CORN FLAKES",3.76,357,7.5,0.4,4,84.1,3.3,9.5,5,28.9,39,102,168,729,1.0,0.198,0.168,8.3,21,1.34,1.52,17.9,0.229,1.79,357,323,34,583,8.7,5.0,1786,490,481,54,83,0,0,339,0.12,3.6,143,0,0.116,0.067,0.196,0,28,"1 cup,  (1 NLEA serving)",,,0
8023,"CEREALS RTE,KELLOGG,KELLOGG'S CRACKLIN' OAT BRAN",3.0,395,9.2,14.1,3.3,70.3,12.7,28,59,3.7,153,278,403,280,3.1,0.4,,27.3,31,0.77,0.87,10.2,0.4,1.02,204,185,19,334,29.2,3.1,816,244,244,0,1,1,0,96,0,2,82,3,6.2,4.9,2.8,0,49,".75 cup,  (1 NLEA serving)",,,0
8029,"CEREALS RTE,POST BRAN FLAKES",3.4,328,9.9,2.1,4.1,80.5,18.3,18.6,44,28,229,449,533,540,5.0,0.5,,52.5,0,1.3,1.4,16.7,,1.7,667,648,19,1120,33.5,5.0,2500,749,748,0,3,0,0,150,0.77,3.3,133,1.4,0.4,0.3,1.2,0,30,".75 cup,  (1 NLEA serving)",,,0
8030,"CEREALS RTE,KELLOGG,KELLOGG'S FROOT LOOPS",2.5,375,5.3,3.4,1.45,88,9.3,41.7,10,15.5,31,74,117,469,5.2,0.089,0.56,5.9,52,1.29,1.47,17.2,0.347,1.72,345,326,19,573,10.5,5.2,1724,501,498,19,29,0,0,442,0.15,3.5,138,0.3,1.8,0.6,0.9,0,29,"1 cup,  (1 NLEA serving)",,,0
8031,"CEREALS RTE,KELLOGG'S FRSTD MINI-WHEATS,BIG BITE",4.8,350,9.2,1.6,1.4,83.4,10.8,20.3,28,28,86,368,363,2,2.7,0.35,3.466,4.1,0,0.65,0.73,8.6,0.525,0.86,345,326,19,573,25.3,2.6,6,0,0,0,4,0,0,167,0.67,0,0,1.6,0.4,0.2,0.9,0,58,"7 biscuit,  (1 NLEA serving)",,,0
8032,"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD RICE KRISPIES",2.5,384,4.3,0.4,1.5,91.3,0.5,40.2,6,18,23,81,59,371,0.8,0.164,0.687,15.4,50,1.25,1.42,16.7,0.637,1.67,400,396,4,677,3.6,5.0,4167,1250,1250,0,0,0,0,0,11.25,5,200,0.1,0.1,0.1,0.1,0,30,".75 cup,  (1 NLEA serving)",,,0
8034,"CEREALS RTE,POST,FRUITY PEBBLES",3.0,402,4.62,4.02,2.5,86.1,0.8,34.28,19,6.67,16,71,72,531,5.56,0.14,,10.2,22.2,1.39,1.57,18.52,,1.85,370,366,4,627,3.7,5.56,2778,833,833,0,0,0,0,0,0.13,7.4,296,1.3,3.6,0.16,0.12,0,27,".75 cup,  (1 NLEA serving)",,,0
8035,"CEREALS RTE,GENERAL MILLS,GOLDEN GRAHAMS",2.2,374,5.3,3.2,4.2,85.1,5.6,35,323,14.5,26,129,206,772,12.1,0.206,1.848,5.6,19.4,1.2,1.4,16.1,0.338,1.613,323,304,19,535,15.2,4.8,1613,472,470,13,21,0,0,410,0.64,3.2,129,2,0.4,1.6,1.0,0,31,".75 cup,  (1 NLEA serving)",,,0
8037,"CEREALS RTE,GRANOLA,HOMEMADE",5.84,489,13.67,24.31,2.31,53.88,8.9,19.8,76,3.95,168,431,539,26,4.17,0.647,3.996,25.4,1.2,0.548,0.354,2.739,0.752,0.37,84,0,84,84,49.2,0.0,19,1,0,0,11,0,0,137,11.1,0,0,5.3,3.957,10.951,7.809,0,122,1 cup,28.35,1 oz,0
8038,"CEREALS RTE,POST,GRAPE-NUTS CRL",3.5,361,11.22,1.81,2.98,80.49,13,8.86,32,28,124,467,400,465,2.07,0.34,3.236,9.1,0.1,0.65,0.12,8.62,0.872,0.86,345,326,19,573,31.9,0.0,4,0,0,0,2,0,0,166,0.62,0,0,2,0.34,0.21,0.78,0,58,".5 cup,  (1 NLEA serving)",,,0
8039,"CEREALS RTE,POST,GRAPE-NUTS FLAKES",3.3,376,9.4,3.7,1.6,82,10.2,15.2,36,27.9,101,280,336,470,7.8,0.3,,47.8,0,1.3,1.5,17.2,,1.7,690,671,19,1159,29,5.2,2586,775,775,0,3,0,0,136,0.81,3.4,138,2.6,0.5,1.5,1.5,0,29,".75 cup,  (1 NLEA serving)",,,0
8045,"CEREALS RTE,GENERAL MILLS,HONEY NUT CHEERIOS",2.86,376,8.85,5.0,3.6,79.69,7.1,32.89,425,20.58,90,328,412,566,17.17,0.234,2.19,16,21.4,1.917,1.867,21.4,0.73,2.267,659,640,19,1106,20.6,7.5,2783,834,834,0,1,0,0,50,0.48,4.6,186,2.3,0.529,1.104,1.024,0,28,".75 cup,  (1 NLEA serving)",,,0
8046,"CEREALS RTE,POST,HONEYCOMB CRL",1.5,394,6.01,2.93,2.93,86.63,3.2,31.51,11,8.44,45,132,142,553,4.69,0.13,,10.4,0,1.17,1.33,15.62,,1.56,313,294,19,518,8.6,4.69,2344,678,672,30,46,0,0,681,0.17,7.8,313,0.6,1.29,0.6,0.91,0,32,"1.5 cup,  (1 NLEA serving)",,,0
8047,"CEREALS RTE,QUAKER,KING VITAMAN",3.35,381,6.41,3.44,2.95,83.85,3.4,20.27,10,29,82,250,268,825,12.71,0.091,0.412,6.5,40,1.268,1.425,16.842,0.56,1.672,1334,1315,19,2255,8.3,5.0,3352,968,961,44,67,0,0,1131,4.55,0,0,0.2,1.584,0.644,1.117,0,31,"1.5 cup,  (1 NLEA serving)",,,0
8048,"CEREALS RTE,GENERAL MILLS,KIX",2.79,357,7.69,3.46,3.23,82.82,8.8,9.76,570,32,51,189,223,596,17.42,0.142,1.13,8.5,25.4,1.955,2.0,24.25,0.522,2.3,787,768,19,1324,15.3,5.7,3078,879,870,52,80,0,0,1236,0.3,3.3,133,0.2,0.576,0.99,1.277,0,30,"1.25 cup,  (1 NLEA serving)",,,0
8049,"CEREALS RTE,QUAKER,QUAKER OAT LIFE,PLN",4.3,374,9.98,4.43,3.56,77.74,6.6,19.43,351,29.33,98,423,283,501,13.78,0.277,2.333,23,0,1.28,1.49,17.18,0.717,1.8,1305,1286,19,2205,24,0.0,40,2,0,1,18,11,0,99,0.61,0,0,1.2,0.83,1.48,1.42,0,32,".75 cup,  (1 NLEA serving)",21,.5 cup,0
8050,"CEREALS RTE,GENERAL MILLS,LUCKY CHARMS",4.15,380,7.67,5.02,2.27,80.89,5,36.13,434,22.27,74,289,222,648,18.62,0.213,2.173,14.6,26.6,1.737,1.723,25.3,0.439,3.01,741,722,19,1246,16.1,6.8,2823,847,847,0,0,0,0,92,0.45,3.9,156,1.4,0.885,1.586,1.542,0,27,".75 cup,  (1 NLEA serving)",,,0
8054,"CEREALS RTE,QUAKER,100% NAT GRANOLA,OATS,WHEAT & HONEY",2.19,421,10.55,11.62,1.98,73.65,10.2,20.34,109,2.81,121,392,483,50,2.95,0.312,,17.3,0.2,0.411,0.289,2.308,,0.231,37,0,37,37,35,0.17,8,2,2,0,1,0,0,130,1.3,0,0,7,1.24,6.6,2.68,2,48,".5 cup,  (1 NLEA serving)",,,0
8057,"CEREALS RTE,GENERAL MILLS,HONEY NUT CHEX",2.2,375,6.3,2.0,3.2,86.67,3.9,28.1,313,14.1,25,63,219,600,11.69,0.13,0.278,10.5,18.8,1.2,1.29,15.6,,1.56,313,294,19,518,11.3,4.69,1563,432,424,44,67,0,0,1039,0.21,3.1,125,0.1,0.5,0.5,1.0,0,32,".75 cup,  (1 NLEA serving)",,,0
8059,"CEREALS RTE,QUAKER,SWT CRUNCH/QUISP",2.0,406,4.51,6.08,2.39,85.03,2.3,43.36,9,18.35,55,168,187,740,15.29,0.069,0.326,6.5,0,1.529,1.732,20.382,,2.037,1555,1536,19,2630,5.8,0.0,148,21,17,28,43,0,0,727,0.73,0,0,0.2,4.442,0.695,0.854,0,27,"1 cup,  (1 NLEA serving)",,,0
8060,"CEREALS RTE,KELLOGG,KELLOGG'S RAISIN BRAN",10.4,318,7.72,2.72,1.87,77.29,11.4,31.3,43,12.33,122,347,653,356,3.39,0.456,2.678,4.6,0,0.753,1.08,13.8,0.922,1.843,201,182,19,328,24.3,2.0,1289,386,386,0,2,0,0,97,0.66,3.9,155,2.1,0.48,0.339,0.949,0,59,"1 cup,  ( 1 NLEA serving)",,,0
8061,"CEREALS RTE,POST RAISIN BRAN CRL",8.6,324,7.6,1.6,3.2,78.9,13.7,32.9,44,18.3,168,339,525,382,3.8,0.4,3.21,5.9,0.9,0.6,0.7,8.5,0.206,0.8,339,320,19,563,27.3,2.5,1271,380,380,0,2,0,0,101,0.54,1.7,68,1.9,0.296,0.349,0.796,0,59,"1 cup,  (1 NLEA serving)",,,0
8064,"CEREALS RTE,GENERAL MILLS,RICE CHEX",2.59,375,6.4,1.89,4,85.09,2,8,370,33.29,30,148,188,809,13.89,0.26,,19.6,22.2,1.39,1.6,18.5,,1.85,741,737,4,1256,17.5,5.59,1852,556,556,0,0,0,0,0,0.35,3.7,148,1,0.5,0.6,0.69,0,27,"1 cup,  (1 NLEA serving)",,,0
8065,"CEREALS RTE,KELLOGG,KELLOGG'S RICE KRISPIES",5.06,381,6.75,2.05,1.1,85.05,0.4,9.87,5,30.42,27,125,125,527,1.39,0.186,1.3,19.6,63.3,1.77,1.29,17.967,0.602,2.35,610,606,4,1034,6,7.23,3788,1136,1136,0,0,0,0,0,26.64,6.2,247,0,0.458,0.593,0.626,0,33,"1.25 cup,  (1 NLEA serving)",29,1 cup,0
8066,"CEREALS RTE,QUAKER,QUAKER PUFFED RICE",3.91,383,7.01,0.9,0.41,87.78,1.4,0,9,2.86,30,118,116,5,1.1,0.239,,10.5,0,0.441,0.265,3.525,,0.0,154,150,4,259,6,0.0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.325,0.18,0.345,0,14,".75 cup,  (1 NLEA serving)",,,0
8067,"CEREALS RTE,KELLOGG,KELLOGG'S SPL K",3.0,377,17.79,1.79,4,73.4,1.4,12.69,23,28,12,48,53,667,0.69,0.179,,54.9,68,1.69,1.91,22.6,,6.44,1290,1271,19,2180,11,19.4,1667,500,500,0,0,0,0,0,15.3,3.3,134,0.1,0.4,0.3,0.4,0,31,"1 cup,  (1 NLEA serving)",,,0
8068,"CEREALS RTE,KELLOGG,KELLOGG'S CORN POPS",3.0,387,4.8,1.3,1.2,89.7,8.4,31.3,7,6,28,52,113,357,5.0,0.083,0.166,6.5,20,1.25,1.42,16.7,0.226,1.67,333,314,19,553,7.1,5.0,1667,467,460,39,60,0,0,1066,0.12,3.3,133,0,0.5,0.2,0.5,0,30,"1 cup,  (1 NLEA serving)",,,0
8069,"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD FLAKES",4.18,369,3.96,1.68,0.98,89.2,2.2,35.43,3,26.7,8,47,76,468,0.15,0.039,0.055,3.3,24.2,1.903,1.73,27.667,0.215,3.573,382,362,19,635,1.9,8.1,1559,450,446,5,21,40,0,676,0.07,4.7,188,0.2,0.451,0.265,0.669,0,30,".75 cup,  ( 1 NLEA serving)",42,1 cup,0
8071,"CEREALS RTE,KELLOGG,KELLOGG'S HONEY SMACKS",2.9,380,5.7,2.2,0.69,88.5,5,56.2,14,1.5,59,213,183,142,1.7,0.195,1.895,29.1,22,1.39,1.57,18.5,,1.85,370,351,19,616,15.6,5.6,1852,556,556,0,0,0,0,92,0.41,3.7,148,2.8,0.5,0.4,0.5,0,27,".75 cup,  (1 NLEA serving)",,,0
8073,"CEREALS RTE,POST,GOLDEN CRISP",1.4,380,5.5,1.7,0.8,90.1,5,53.6,15,6.7,59,227,176,95,5.6,0.2,,48.6,0,1.4,1.6,18.5,,1.9,370,351,19,616,13.8,5.6,2778,832,832,0,2,0,0,92,0.33,7.4,296,0.9,0.2,0.6,0.6,0,27,".75 cup,  (1 NLEA serving)",,,0
8077,"CEREALS RTE,GENERAL MILLS,WHL GRAIN TOTAL",2.67,320,8.4,2.1,12.1,74.7,9.1,16.4,3333,60,80,267,306,470,50.0,0.349,3.446,3.9,200,5.0,5.7,66.7,33.333,6.667,1333,1314,19,2253,25.1,20.0,1667,498,498,0,4,0,0,168,45,8.3,333,1.6,0.6,0.3,0.8,0,30,".75 cup,  (1 NLEA serving)",,,0
8078,"CEREALS RTE,GENERAL MILLS,TRIX",1.89,384,4.9,3.79,3,86.19,3.9,32,313,16.89,25,188,162,500,14.1,0.117,,6.5,18.8,1.6,1.89,18.79,,2.18,375,356,19,624,10.7,4.69,2344,669,662,41,62,0,0,951,0.5,3.1,125,1.3,0.5,1.79,1.39,0,32,"1 cup,  (1 NLEA serving)",,,0
8081,"CEREALS RTE,POST,HONEY NUT SHREDDED WHEAT",3.0,373,8.5,2.9,2.1,83.6,10.7,20.7,38,28,93,274,348,102,2.5,0.3,,40.9,0,0.6,0.7,8.5,0.826,0.8,170,128,42,259,20,2.5,7,0,0,0,4,0,0,166,1.2,0,0,1.5,0.4,1.2,1.2,0,59,"1 cup,  (1 NLEA serving)",,,0
